Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	M_green->red	lnL
8652	0.020209	0.023966	0.002494	0.003376	0.628595	-3520.079
8656	0.021123	0.023855	0.001812	0.003376	0.871911	-3500.696
8660	0.013963	0.024572	0.001570	0.002740	0.620759	-3512.587
8664	0.011549	0.014288	0.001457	0.002182	0.687569	-3514.548
8668	0.014799	0.017950	0.002528	0.002852	0.333015	-3505.955
8672	0.015837	0.021825	0.002198	0.002852	0.441866	-3523.258
8676	0.014055	0.023669	0.002289	0.002852	0.516580	-3510.722
8680	0.018880	0.030312	0.003216	0.003358	0.538376	-3520.007
8684	0.018539	0.027558	0.002362	0.003206	0.538376	-3528.448
8688	0.016029	0.019632	0.002709	0.002750	0.538376	-3540.899
8692	0.017918	0.018081	0.002367	0.002831	0.836607	-3508.208
8696	0.015809	0.019687	0.002260	0.002691	0.672155	-3511.994
8700	0.015322	0.016662	0.001949	0.002691	0.672155	-3507.073
8704	0.012741	0.014139	0.001452	0.002176	0.757344	-3500.605
8708	0.013599	0.013051	0.002240	0.002176	0.853811	-3520.315
8712	0.014069	0.014320	0.002462	0.002248	0.853811	-3513.637
8716	0.019217	0.018877	0.002722	0.002711	0.615087	-3531.505
8720	0.017737	0.017017	0.002684	0.002711	0.618548	-3513.631
8724	0.020949	0.020003	0.004538	0.003127	0.594261	-3509.807
8728	0.017674	0.013967	0.004751	0.002672	0.462295	-3490.059
8732	0.018160	0.015558	0.002831	0.002672	0.273826	-3495.326
8736	0.017560	0.017086	0.001801	0.002672	0.409235	-3514.620
8740	0.022407	0.023173	0.002792	0.003265	0.638810	-3500.986
8744	0.019662	0.022521	0.003214	0.003274	0.429850	-3491.061
8748	0.024673	0.020602	0.004199	0.003629	0.569739	-3501.189
8752	0.031679	0.028236	0.004579	0.004523	0.506627	-3492.908
8756	0.030283	0.026268	0.004096	0.003870	0.661315	-3499.513
8760	0.023520	0.023193	0.002689	0.003270	0.583303	-3498.282
8764	0.024802	0.016733	0.002838	0.003311	0.819396	-3496.709
8768	0.023493	0.015584	0.002348	0.002946	0.900425	-3515.344
8772	0.029699	0.020865	0.001969	0.003350	0.407697	-3524.221
8776	0.027667	0.020273	0.001574	0.003350	0.407697	-3515.316
8780	0.020072	0.017410	0.001799	0.002814	0.407697	-3535.057
8784	0.021425	0.017860	0.001756	0.003023	0.501147	-3525.078
8788	0.022647	0.016630	0.001730	0.002891	0.616389	-3502.206
8792	0.018132	0.018237	0.002099	0.002378	0.616389	-3504.325
8796	0.016538	0.015436	0.001382	0.002009	0.616389	-3489.902
8800	0.016020	0.018104	0.001866	0.002009	0.828074	-3508.158
8804	0.018809	0.021888	0.004808	0.002434	0.849909	-3498.923
8808	0.018520	0.017763	0.002322	0.002434	0.616935	-3498.504
8812	0.014362	0.014241	0.001532	0.002159	0.422489	-3477.016
8816	0.013483	0.013725	0.002715	0.002159	0.701052	-3475.678
8820	0.015083	0.015559	0.002790	0.002159	0.676328	-3487.084
8824	0.014345	0.014218	0.001638	0.002159	0.450339	-3498.641
8828	0.016979	0.020271	0.001749	0.002383	0.876204	-3513.516
8832	0.017642	0.019379	0.002502	0.002477	0.876204	-3507.467
8836	0.013380	0.015600	0.002821	0.001971	0.549456	-3508.701
8840	0.015728	0.015778	0.001917	0.002308	0.286199	-3503.464
8844	0.013415	0.012979	0.001503	0.002308	0.584838	-3515.719
8848	0.017229	0.020848	0.001207	0.002601	0.616309	-3538.421
8852	0.018735	0.024642	0.001112	0.002968	0.525537	-3522.539
8856	0.020239	0.021967	0.001151	0.003264	0.429364	-3518.078
8860	0.018704	0.016611	0.001457	0.003264	0.511313	-3508.321
8864	0.016961	0.020001	0.001321	0.003092	0.528587	-3504.933
8868	0.015955	0.016607	0.001973	0.003092	0.685757	-3506.393
8872	0.021127	0.022187	0.001346	0.003687	0.639702	-3529.524
8876	0.022220	0.020001	0.002221	0.003332	0.915812	-3521.411
8880	0.022066	0.025676	0.002015	0.003332	0.565563	-3516.000
8884	0.021841	0.023358	0.001687	0.003332	0.310677	-3532.995
8888	0.019538	0.024381	0.001195	0.003432	0.589594	-3513.818
8892	0.017037	0.020538	0.001172	0.002919	0.566625	-3528.184
8896	0.016325	0.018734	0.001116	0.002919	0.555229	-3514.954
8900	0.015567	0.017317	0.000833	0.002726	0.838847	-3490.703
8904	0.018968	0.020247	0.001725	0.003228	0.710438	-3507.237
8908	0.013753	0.016806	0.000923	0.002545	0.650947	-3521.489
8912	0.017958	0.025654	0.001248	0.003214	0.499476	-3513.873
8916	0.018152	0.027935	0.000878	0.003214	0.436411	-3521.502
8920	0.017956	0.022120	0.001342	0.003214	0.434106	-3528.014
8924	0.024797	0.023092	0.002100	0.004243	0.788407	-3532.447
8928	0.022044	0.018836	0.001673	0.003776	0.810943	-3530.937
8932	0.030123	0.029995	0.001864	0.004922	0.944738	-3519.024
8936	0.027081	0.024555	0.001547	0.004816	0.722333	-3515.650
8940	0.015813	0.018625	0.000983	0.003121	0.722333	-3505.141
8944	0.018149	0.017582	0.001783	0.003638	0.549045	-3499.211
8948	0.021497	0.025325	0.002548	0.004186	0.634615	-3505.079
8952	0.024685	0.030313	0.001568	0.004186	0.731243	-3503.969
8956	0.022465	0.020666	0.001998	0.004110	0.625700	-3515.366
8960	0.021372	0.023336	0.001471	0.004110	0.641020	-3497.015
8964	0.019187	0.026636	0.002878	0.004110	0.702426	-3491.858
8968	0.025805	0.033079	0.005247	0.005751	0.493182	-3499.822
8972	0.023477	0.035697	0.001851	0.005886	0.493182	-3502.611
8976	0.023414	0.034653	0.001500	0.005750	0.323246	-3486.040
8980	0.023654	0.036236	0.002082	0.005750	0.630891	-3507.583
8984	0.023893	0.035020	0.002001	0.006111	0.525568	-3520.423
8988	0.024711	0.038339	0.001302	0.006111	0.751204	-3537.098
8992	0.019555	0.029389	0.001142	0.004480	0.569819	-3515.647
8996	0.015938	0.020415	0.000728	0.003625	0.456044	-3503.006
9000	0.019829	0.026660	0.000830	0.004109	0.760557	-3509.656
9004	0.020862	0.031944	0.001047	0.004633	0.770654	-3517.329
9008	0.024226	0.035579	0.001182	0.004402	0.626279	-3520.852
9012	0.024577	0.025754	0.001157	0.004402	0.671648	-3525.879
9016	0.019864	0.025250	0.000944	0.003630	0.483229	-3508.056
9020	0.018488	0.023391	0.001105	0.003630	0.506968	-3516.987
9024	0.017987	0.027292	0.001436	0.003630	0.679911	-3515.406
9028	0.015960	0.020905	0.001828	0.003630	0.691475	-3513.953
9032	0.014440	0.023912	0.002346	0.003630	0.691475	-3514.581
9036	0.011343	0.019207	0.001317	0.002647	0.572298	-3528.224
9040	0.012418	0.016389	0.001368	0.002647	0.546049	-3543.096
9044	0.012343	0.019032	0.001669	0.002647	0.519310	-3500.402
9048	0.010405	0.016606	0.001080	0.002138	0.479134	-3518.390
9052	0.007753	0.014466	0.001469	0.002025	0.447207	-3515.725
9056	0.007734	0.012779	0.000946	0.002025	0.361360	-3509.098
9060	0.010365	0.016035	0.002027	0.002362	0.466223	-3530.094
9064	0.011166	0.014316	0.001983	0.002362	0.449970	-3525.643
9068	0.014505	0.024107	0.001568	0.003290	0.432116	-3544.789
9072	0.016482	0.029634	0.002526	0.003825	0.432116	-3525.238
9076	0.014232	0.022324	0.001438	0.003081	0.432116	-3516.140
9080	0.013739	0.018655	0.001040	0.002811	0.621246	-3513.114
9084	0.011679	0.018577	0.001014	0.002670	0.621246	-3502.250
9088	0.012991	0.020324	0.000780	0.002670	0.790194	-3522.710
9092	0.014839	0.023471	0.001580	0.002670	0.530654	-3517.393
9096	0.013400	0.027608	0.001597	0.002735	0.456251	-3505.135
9100	0.011910	0.024181	0.001811	0.002508	0.602843	-3511.486
9104	0.013736	0.028006	0.001849	0.002997	0.930440	-3508.423
9108	0.013815	0.020228	0.001247	0.002743	0.625705	-3520.554
9112	0.017876	0.020868	0.002258	0.003159	0.625705	-3520.944
9116	0.019542	0.034748	0.002557	0.003159	0.833749	-3511.363
9120	0.019805	0.027929	0.001683	0.003318	0.745530	-3499.499
9124	0.020335	0.027139	0.001629	0.003318	0.901327	-3507.276
9128	0.014141	0.021351	0.001166	0.002496	0.674809	-3521.381
9132	0.012270	0.022296	0.002667	0.002609	0.777269	-3503.151
9136	0.014988	0.028849	0.002291	0.002958	0.777269	-3526.860
9140	0.016769	0.021790	0.002410	0.003232	0.935938	-3522.246
9144	0.014042	0.022762	0.001969	0.003232	0.660855	-3507.148
9148	0.015916	0.017063	0.003698	0.003159	0.917122	-3509.031
9152	0.016445	0.023612	0.002023	0.003305	0.961348	-3523.612
9156	0.014926	0.020925	0.001242	0.003275	0.999166	-3503.997
9160	0.013334	0.023265	0.001283	0.003217	0.636861	-3498.420
9164	0.012094	0.018560	0.001699	0.002884	1.017721	-3503.795
9168	0.015442	0.027729	0.001167	0.003279	1.023234	-3495.151
9172	0.016015	0.025760	0.001416	0.004062	0.682416	-3522.443
9176	0.018328	0.019590	0.001755	0.004062	0.533618	-3513.767
9180	0.016915	0.020446	0.001790	0.003384	0.584899	-3527.005
9184	0.015999	0.019040	0.001341	0.002960	0.497765	-3531.479
9188	0.016553	0.021256	0.001717	0.002999	0.501668	-3540.287
9192	0.013906	0.019791	0.001084	0.002881	0.501668	-3512.149
9196	0.012053	0.023412	0.001356	0.002881	0.694761	-3502.017
9200	0.013291	0.017338	0.003012	0.002881	0.511953	-3512.795
9204	0.014435	0.020479	0.001497	0.002881	0.573570	-3526.670
9208	0.012671	0.020978	0.002035	0.002881	0.573570	-3512.909
9212	0.014091	0.024433	0.002264	0.002881	0.415974	-3513.383
9216	0.014159	0.022129	0.002207	0.002881	0.774183	-3513.226
9220	0.011075	0.017137	0.002882	0.002286	0.506841	-3518.058
9224	0.013601	0.020558	0.002305	0.002744	0.623797	-3514.855
9228	0.010534	0.020259	0.001201	0.002567	0.402883	-3510.244
9232	0.011845	0.021129	0.001177	0.002567	0.463375	-3516.359
9236	0.013978	0.022015	0.001020	0.002567	0.752768	-3514.756
9240	0.013296	0.017532	0.000839	0.002567	0.739685	-3506.685
9244	0.014356	0.022691	0.001160	0.002567	0.739685	-3511.698
9248	0.014067	0.020753	0.001290	0.002438	0.739685	-3505.588
9252	0.019187	0.025853	0.001037	0.003056	0.529024	-3510.688
9256	0.016930	0.025339	0.001222	0.002877	0.430836	-3514.171
9260	0.015843	0.023271	0.001946	0.002877	0.338602	-3513.302
9264	0.016640	0.024807	0.002261	0.002925	0.267278	-3523.442
9268	0.013219	0.024339	0.002843	0.002925	0.302265	-3514.214
9272	0.013619	0.021732	0.001163	0.003070	0.428931	-3515.304
9276	0.013388	0.021189	0.001950	0.003250	0.656352	-3518.970
9280	0.015700	0.028760	0.004380	0.003578	0.456427	-3508.666
9284	0.015464	0.025164	0.002987	0.003592	0.518913	-3516.677
9288	0.013144	0.017121	0.003087	0.002874	0.200551	-3521.650
9292	0.012285	0.016419	0.002251	0.002874	0.571335	-3505.431
9296	0.014706	0.019944	0.002285	0.003232	0.571335	-3500.985
9300	0.013922	0.016849	0.002717	0.003263	0.360113	-3538.096
9304	0.015917	0.020719	0.002701	0.003866	0.458499	-3520.510
9308	0.016855	0.019921	0.001420	0.003402	0.399251	-3517.159
9312	0.016804	0.017048	0.000997	0.003402	0.663762	-3520.482
9316	0.018103	0.016932	0.002300	0.003402	0.663762	-3519.883
9320	0.016195	0.016296	0.002196	0.003174	0.693355	-3526.995
9324	0.014276	0.016251	0.001212	0.003174	0.353457	-3529.214
9328	0.018503	0.018474	0.000898	0.003906	0.434919	-3527.836
9332	0.021982	0.017219	0.001827	0.004286	0.814652	-3538.266
9336	0.027805	0.019394	0.003003	0.004862	0.744334	-3534.622
9340	0.021842	0.019894	0.004151	0.004129	0.497222	-3517.691
9344	0.024019	0.028154	0.003800	0.005314	0.352304	-3525.064
9348	0.022338	0.026043	0.002985	0.004782	0.477238	-3520.701
9352	0.019201	0.027129	0.001275	0.004782	0.424074	-3517.932
9356	0.028230	0.032399	0.000799	0.005819	0.323034	-3529.245
9360	0.028158	0.038219	0.000915	0.006832	0.266957	-3509.269
9364	0.025012	0.035871	0.000806	0.006525	0.395781	-3518.822
9368	0.019632	0.033518	0.000685	0.005991	0.548347	-3519.713
9372	0.022744	0.032081	0.001021	0.005991	0.577728	-3507.434
9376	0.020161	0.030597	0.000875	0.005991	0.388069	-3521.127
9380	0.022533	0.031603	0.001184	0.005991	0.179676	-3505.619
9384	0.025512	0.037034	0.001321	0.007282	0.608538	-3525.008
9388	0.020803	0.030790	0.001061	0.006136	0.369377	-3516.865
9392	0.020969	0.034079	0.001746	0.006661	0.669710	-3510.937
9396	0.026462	0.034885	0.001357	0.006439	0.771234	-3507.272
9400	0.022523	0.027144	0.000739	0.005708	0.571643	-3502.289
9404	0.022743	0.029627	0.000868	0.006329	0.554070	-3508.492
9408	0.025946	0.027083	0.001522	0.006916	0.860448	-3535.449
9412	0.025925	0.025193	0.003519	0.006413	0.653808	-3508.849
9416	0.022391	0.023652	0.001692	0.005768	0.653808	-3513.109
9420	0.018967	0.028193	0.001473	0.005768	0.646652	-3480.848
9424	0.018841	0.030253	0.001857	0.005741	0.646652	-3510.273
9428	0.020990	0.034367	0.000826	0.005608	1.140133	-3510.619
9432	0.024284	0.041091	0.002053	0.007212	0.865307	-3514.821
9436	0.022118	0.030640	0.001626	0.006337	0.558522	-3517.599
9440	0.022268	0.030411	0.001524	0.006337	0.277592	-3504.022
9444	0.025322	0.030977	0.001943	0.006337	0.431365	-3513.036
9448	0.021372	0.026334	0.002380	0.005358	0.379169	-3512.566
9452	0.018275	0.020572	0.001048	0.004428	0.545666	-3514.474
9456	0.024771	0.027071	0.001003	0.005476	0.545666	-3509.743
9460	0.025224	0.026041	0.002203	0.005476	0.524697	-3500.898
9464	0.020777	0.028551	0.000953	0.004344	0.524697	-3508.657
9468	0.020534	0.024961	0.001279	0.004344	0.782972	-3492.669
9472	0.016751	0.027393	0.001266	0.003874	0.782972	-3521.754
9476	0.019114	0.026058	0.001351	0.004231	0.749481	-3505.060
9480	0.020007	0.021526	0.001945	0.003774	0.557058	-3514.146
9484	0.019569	0.022688	0.001158	0.004389	0.540328	-3495.803
9488	0.022451	0.024065	0.001125	0.005322	0.509508	-3502.532
9492	0.016580	0.019448	0.000826	0.004226	0.509508	-3513.102
9496	0.015865	0.021449	0.000911	0.004036	0.384860	-3508.373
9500	0.014585	0.025714	0.001022	0.004036	0.395635	-3512.778
9504	0.015329	0.024485	0.001068	0.004105	0.262643	-3514.365
9508	0.016712	0.023351	0.002041	0.003685	0.420701	-3514.292
9512	0.014159	0.021803	0.000860	0.003093	0.675116	-3521.064
9516	0.015726	0.022301	0.001356	0.003121	0.589777	-3511.135
9520	0.014251	0.020501	0.001407	0.003121	0.589777	-3515.431
9524	0.019161	0.028031	0.003384	0.003750	0.530673	-3519.638
9528	0.019628	0.028628	0.001309	0.003750	0.304269	-3508.168
9532	0.020726	0.020983	0.001425	0.003750	0.465539	-3515.415
9536	0.017506	0.020839	0.001379	0.003255	0.413935	-3508.016
9540	0.017227	0.020980	0.001227	0.003596	0.413935	-3514.058
9544	0.014776	0.016181	0.001237	0.003332	0.542918	-3518.013
9548	0.016480	0.013869	0.000960	0.003393	0.542918	-3515.885
9552	0.014989	0.020004	0.001175	0.003393	0.374745	-3504.030
9556	0.014672	0.018783	0.003128	0.003393	0.374745	-3497.388
9560	0.014889	0.017006	0.001691	0.003193	0.484003	-3499.439
9564	0.012967	0.016399	0.001295	0.003050	0.324968	-3484.006
9568	0.016713	0.023403	0.002056	0.003528	0.411378	-3494.089
9572	0.014074	0.020766	0.002678	0.003528	0.411378	-3501.955
9576	0.015535	0.019459	0.002808	0.003528	0.582315	-3504.903
9580	0.016353	0.028780	0.004714	0.004140	0.539306	-3501.138
9584	0.020358	0.031816	0.004178	0.004140	0.922904	-3527.308
9588	0.017821	0.026155	0.002925	0.003445	0.569978	-3523.004
9592	0.014152	0.022248	0.001792	0.003113	0.466009	-3509.751
9596	0.015015	0.026487	0.001641	0.003626	0.466009	-3522.250
9600	0.018274	0.023482	0.003084	0.004572	0.456620	-3523.487
9604	0.016624	0.022414	0.002014	0.004031	0.583486	-3527.750
9608	0.016822	0.020894	0.002186	0.004031	0.547667	-3511.962
9612	0.016358	0.021247	0.001351	0.004031	0.773980	-3530.263
9616	0.020964	0.023132	0.001006	0.004532	0.491599	-3498.948
9620	0.015707	0.019278	0.000658	0.003599	0.663688	-3518.582
9624	0.017918	0.024207	0.001647	0.004097	0.663688	-3501.233
9628	0.018903	0.022275	0.002405	0.004990	0.496786	-3505.985
9632	0.018980	0.018707	0.002791	0.004929	0.455987	-3530.151
9636	0.017260	0.026146	0.001501	0.005056	0.455987	-3519.029
9640	0.020130	0.027329	0.001096	0.006001	0.455987	-3528.654
9644	0.017993	0.028741	0.001364	0.006095	0.391441	-3516.346
9648	0.014152	0.022471	0.002849	0.004766	0.391441	-3501.197
9652	0.011665	0.018758	0.001465	0.004236	0.337054	-3517.564
9656	0.012998	0.020507	0.000973	0.004236	0.337054	-3500.967
9660	0.015346	0.022102	0.001227	0.004236	0.544360	-3491.207
9664	0.016547	0.019648	0.000876	0.003952	0.432592	-3516.433
9668	0.018506	0.021687	0.001236	0.004319	0.603723	-3509.914
9672	0.016622	0.024564	0.001657	0.004319	0.609724	-3519.919
9676	0.015233	0.021954	0.002303	0.003523	0.313508	-3537.725
9680	0.011596	0.018535	0.001181	0.002948	0.462830	-3511.165
9684	0.010780	0.014643	0.001504	0.002336	0.553961	-3520.168
9688	0.010835	0.016534	0.000683	0.002336	0.401739	-3521.054
9692	0.013893	0.019319	0.001061	0.002803	0.513001	-3540.214
9696	0.011897	0.017842	0.001179	0.002371	0.648188	-3512.596
9700	0.010647	0.013749	0.001551	0.002371	0.497165	-3505.198
9704	0.011115	0.015428	0.001603	0.002371	0.339881	-3508.695
9708	0.011277	0.013410	0.000970	0.002371	0.494357	-3492.292
9712	0.015034	0.015486	0.002119	0.002998	0.523661	-3492.864
9716	0.014967	0.017799	0.003964	0.003026	0.719871	-3514.606
9720	0.015282	0.021666	0.001707	0.003638	0.719871	-3506.832
9724	0.012846	0.016695	0.002194	0.002984	0.527374	-3506.925
9728	0.014436	0.023929	0.003438	0.003728	0.590931	-3495.368
9732	0.014722	0.020686	0.002285	0.003238	0.431135	-3502.753
9736	0.013082	0.018868	0.001551	0.003238	0.520593	-3488.181
9740	0.014013	0.019189	0.000976	0.003117	0.520593	-3482.862
9744	0.016240	0.019988	0.001700	0.003399	0.682699	-3503.017
9748	0.014679	0.015994	0.001214	0.003399	0.541883	-3516.571
9752	0.013863	0.016862	0.001472	0.002997	0.486967	-3536.374
9756	0.014904	0.018339	0.001943	0.002997	0.499206	-3504.296
9760	0.015762	0.023943	0.002684	0.003591	0.724794	-3521.528
9764	0.014980	0.026803	0.002298	0.003448	0.724794	-3531.889
9768	0.017294	0.033386	0.001374	0.003884	0.934136	-3500.618
9772	0.017288	0.025793	0.000796	0.003823	0.934136	-3510.011
9776	0.017318	0.024895	0.000808	0.004010	0.630958	-3514.619
9780	0.016838	0.023143	0.000875	0.004141	0.594459	-3490.260
9784	0.017227	0.026128	0.000726	0.004141	0.604302	-3497.962
9788	0.015269	0.023037	0.002234	0.004141	0.550017	-3493.064
9792	0.011976	0.020357	0.001232	0.003146	0.498362	-3503.214
9796	0.010264	0.021335	0.002423	0.003146	0.695144	-3500.891
9800	0.010129	0.016811	0.002654	0.003146	0.357765	-3501.159
9804	0.009065	0.017386	0.000645	0.002835	0.556547	-3500.061
9808	0.009320	0.014343	0.001011	0.002903	0.450115	-3512.242
9812	0.010182	0.016337	0.000508	0.003328	0.477561	-3505.297
9816	0.011040	0.013893	0.001182	0.003328	0.322142	-3509.986
9820	0.012534	0.017694	0.001428	0.004076	0.289581	-3492.204
9824	0.014363	0.022868	0.000823	0.004446	0.459225	-3478.315
9828	0.011091	0.016717	0.001483	0.003034	0.628811	-3485.954
9832	0.011271	0.013585	0.001906	0.003070	0.514155	-3496.364
9836	0.014538	0.016283	0.001592	0.003661	0.663327	-3486.458
9840	0.014576	0.021903	0.001195	0.003940	0.663327	-3514.863
9844	0.014015	0.020348	0.002946	0.003940	0.663327	-3512.516
9848	0.013305	0.015912	0.001062	0.003291	0.743585	-3519.877
9852	0.014218	0.020519	0.000990	0.003291	0.479578	-3509.855
9856	0.011219	0.020366	0.001019	0.002874	0.558928	-3528.782
9860	0.013004	0.016306	0.000898	0.002874	0.374955	-3518.378
9864	0.013360	0.013123	0.001098	0.002874	0.601598	-3505.162
9868	0.012681	0.014202	0.000777	0.002995	0.510858	-3502.252
9872	0.012940	0.012984	0.001147	0.002995	0.905879	-3503.595
9876	0.013410	0.015710	0.001242	0.002995	0.731327	-3501.473
9880	0.014658	0.016515	0.001320	0.003446	0.509746	-3518.075
9884	0.014851	0.017082	0.001201	0.003446	0.479287	-3519.209
9888	0.013480	0.016299	0.001989	0.003363	0.583106	-3516.519
9892	0.012122	0.014520	0.001077	0.003363	0.678287	-3522.012
9896	0.015524	0.021374	0.000998	0.004297	0.586836	-3505.911
9900	0.017074	0.020773	0.001714	0.004468	0.586836	-3519.368
9904	0.017026	0.019435	0.000928	0.004468	0.586836	-3513.436
9908	0.020284	0.020428	0.001016	0.005662	0.586836	-3530.681
9912	0.017663	0.018206	0.001197	0.005478	0.668167	-3505.322
9916	0.017725	0.018198	0.000510	0.005227	0.837204	-3532.641
9920	0.017983	0.019163	0.001100	0.005502	0.832303	-3509.283
9924	0.019114	0.021959	0.002492	0.005502	0.650505	-3535.127
9928	0.016358	0.016242	0.000809	0.004478	0.650505	-3509.247
9932	0.017725	0.018256	0.001419	0.004996	0.650505	-3528.512
9936	0.018920	0.016775	0.001058	0.004926	0.767024	-3511.755
9940	0.019288	0.012302	0.000895	0.004926	0.767024	-3518.473
9944	0.016960	0.012417	0.000890	0.004019	0.459750	-3513.356
9948	0.015017	0.015165	0.000886	0.003651	0.535197	-3506.937
9952	0.014863	0.016494	0.000781	0.003651	1.022484	-3536.721
9956	0.018332	0.016466	0.000721	0.003651	0.898234	-3508.443
9960	0.017637	0.013213	0.001179	0.003686	0.583409	-3510.043
9964	0.017108	0.013859	0.001372	0.003686	0.771076	-3539.812
9968	0.015855	0.013135	0.001695	0.003686	0.325521	-3515.236
9972	0.016198	0.015314	0.001071	0.003957	0.425281	-3540.513
9976	0.019148	0.020203	0.001386	0.004565	0.598704	-3536.368
9980	0.018555	0.018652	0.001974	0.004530	0.433215	-3497.637
9984	0.019695	0.019244	0.001832	0.004530	0.432595	-3519.066
9988	0.020128	0.015772	0.001431	0.003878	0.426611	-3522.879
9992	0.021346	0.016198	0.003475	0.004202	0.466294	-3505.851
9996	0.018739	0.018590	0.003431	0.004202	0.466294	-3506.733
10000	0.018953	0.019335	0.001718	0.004316	0.359912	-3494.624
10004	0.015943	0.015757	0.002204	0.003275	0.403691	-3488.618
10008	0.016385	0.012839	0.001591	0.002946	0.586408	-3512.378
10012	0.017104	0.013513	0.003313	0.002628	0.586408	-3491.003
10016	0.017096	0.017731	0.001788	0.002628	0.586408	-3512.774
10020	0.015132	0.013381	0.001280	0.002439	0.677283	-3521.431
10024	0.019166	0.015613	0.000956	0.002822	0.544194	-3522.386
10028	0.020474	0.018360	0.001192	0.003519	0.529114	-3506.659
10032	0.027474	0.023857	0.001196	0.004053	1.214779	-3506.963
10036	0.025314	0.028289	0.001588	0.004053	0.895217	-3521.383
10040	0.022671	0.026910	0.002627	0.004377	0.704966	-3520.265
10044	0.022191	0.022846	0.002281	0.004484	0.704966	-3536.868
10048	0.015429	0.019160	0.001691	0.003415	0.560978	-3509.397
10052	0.015259	0.017849	0.001488	0.003415	0.966816	-3503.494
10056	0.025490	0.026456	0.002004	0.004919	0.728610	-3526.312
10060	0.017155	0.029208	0.001557	0.004018	0.535220	-3508.988
10064	0.018211	0.023807	0.001340	0.004018	0.441600	-3505.846
10068	0.017532	0.022046	0.001655	0.003636	0.331440	-3498.056
10072	0.016094	0.026074	0.001909	0.003326	0.382369	-3498.429
10076	0.017865	0.027996	0.001311	0.003518	0.627081	-3526.086
10080	0.016458	0.025398	0.001917	0.003370	0.627081	-3514.200
10084	0.014029	0.026241	0.001097	0.002750	0.497505	-3492.916
10088	0.013676	0.017856	0.001169	0.002750	0.409992	-3517.173
10092	0.018470	0.023970	0.001250	0.003350	0.409992	-3485.383
10096	0.018949	0.027852	0.001157	0.003350	0.415792	-3497.816
10100	0.017401	0.018586	0.001400	0.003350	0.589561	-3491.884
10104	0.018233	0.022968	0.002011	0.003350	0.589561	-3492.371
10108	0.015069	0.020483	0.001018	0.003092	0.342947	-3511.700
10112	0.018505	0.026453	0.001162	0.003594	0.348090	-3505.958
10116	0.015951	0.024519	0.000990	0.003205	0.462078	-3517.087
10120	0.018696	0.030353	0.001743	0.004098	0.462078	-3514.634
10124	0.017630	0.027588	0.002528	0.004129	0.617292	-3511.684
10128	0.026832	0.036423	0.002687	0.004935	0.685542	-3525.186
10132	0.026132	0.032130	0.002788	0.004935	0.550499	-3501.156
10136	0.019712	0.028837	0.002557	0.004110	0.808518	-3495.789
10140	0.019363	0.025197	0.003246	0.004110	0.684003	-3511.942
10144	0.020784	0.028322	0.001150	0.004110	0.485610	-3493.403
10148	0.027497	0.034771	0.001452	0.005064	0.377297	-3502.836
10152	0.029795	0.034096	0.002133	0.004998	0.475574	-3483.616
10156	0.026086	0.027942	0.001816	0.004909	0.428758	-3490.922
10160	0.024680	0.031573	0.002379	0.004909	0.424035	-3504.304
10164	0.022497	0.024554	0.002194	0.004430	0.619481	-3515.130
10168	0.017499	0.023422	0.001136	0.003697	0.687414	-3492.184
10172	0.014832	0.024746	0.001521	0.003532	0.687414	-3509.513
10176	0.020229	0.028071	0.002353	0.004235	0.672554	-3487.017
10180	0.021172	0.031555	0.001821	0.004235	0.475998	-3504.661
10184	0.015032	0.018728	0.000999	0.003201	0.540906	-3483.551
10188	0.014430	0.022880	0.000973	0.003201	0.540906	-3486.421
10192	0.018854	0.032598	0.002363	0.005043	0.769406	-3507.795
10196	0.017328	0.035349	0.002009	0.004422	0.576071	-3499.404
10200	0.018587	0.031122	0.004435	0.004422	0.487414	-3522.739
10204	0.015276	0.024818	0.001172	0.003845	0.443797	-3520.530
10208	0.013605	0.029970	0.002289	0.003845	0.675990	-3509.863
10212	0.017545	0.023419	0.002265	0.003845	0.675990	-3523.426
10216	0.013925	0.019847	0.002615	0.003381	0.501415	-3539.975
10220	0.012066	0.024106	0.002722	0.003463	0.712030	-3511.986
10224	0.014619	0.029521	0.002575	0.004035	0.552359	-3521.399
10228	0.018676	0.035684	0.002285	0.004936	0.430350	-3514.250
10232	0.018583	0.036467	0.002654	0.004936	0.771965	-3509.354
10236	0.019689	0.029074	0.002018	0.004686	0.521583	-3504.784
10240	0.020276	0.027834	0.001619	0.004057	0.520443	-3518.903
10244	0.022495	0.022746	0.001559	0.004297	0.500798	-3525.605
10248	0.022467	0.024053	0.002583	0.004297	0.332231	-3529.419
10252	0.023743	0.028825	0.002233	0.004297	0.769207	-3513.352
10256	0.026104	0.029054	0.002417	0.004530	0.769207	-3505.294
10260	0.024757	0.024445	0.002461	0.004225	0.635715	-3529.068
10264	0.023939	0.028626	0.002992	0.004225	0.635715	-3504.961
10268	0.024705	0.028722	0.004241	0.004225	0.704648	-3520.594
10272	0.022199	0.027876	0.002235	0.004225	0.641480	-3511.868
10276	0.015134	0.023709	0.001374	0.003197	0.641480	-3516.698
10280	0.018960	0.023421	0.001950	0.003878	0.673142	-3515.979
10284	0.022075	0.026102	0.002782	0.003985	0.673142	-3502.154
10288	0.020458	0.023786	0.002100	0.003943	0.949650	-3487.704
